step,status,started_at_utc,finished_at_utc,duration_seconds,parameters,input_paths,output_paths,row_counts,notes
step03_get_dimensions_research_outputs,success,2026-05-07T08:38:18.583108+00:00,2026-05-07T08:56:30.584380+00:00,1092.001272,"{""limit"": ""100"", ""max_retries"": ""8"", ""skip_api"": ""True""}","{""dimensions_raw_root"": ""/home/jinx/Dropbox/ics_work/ref_gender/data/source/dimensions_api"", ""raw_outputs_xlsx"": ""/home/jinx/Dropbox/ics_work/ref_gender/data/source/raw_ref_outputs_data.xlsx""}","{""analysis_any_csv"": ""/home/jinx/Dropbox/ics_work/ref_gender/data/analysis/outputs_concat_with_any_number_authors.csv"", ""analysis_any_parquet"": ""/home/jinx/Dropbox/ics_work/ref_gender/data/analysis/outputs_concat_with_any_number_authors.parquet"", ""analysis_positive_csv"": ""/home/jinx/Dropbox/ics_work/ref_gender/data/analysis/outputs_concat_with_positive_authors.csv"", ""analysis_positive_parquet"": ""/home/jinx/Dropbox/ics_work/ref_gender/data/analysis/outputs_concat_with_positive_authors.parquet"", ""legacy_any"": ""/home/jinx/Dropbox/ics_work/ref_gender/data/dimensions_outputs/outputs_concat_with_any_number_authors.csv"", ""legacy_positive"": ""/home/jinx/Dropbox/ics_work/ref_gender/data/dimensions_outputs/outputs_concat_with_positive_authors.csv""}",{},
step03_get_dimensions_research_outputs,success,2026-05-07T08:56:36.971654+00:00,2026-05-07T09:03:36.367003+00:00,419.395349,"{""limit"": ""100"", ""max_retries"": ""8"", ""skip_api"": ""True""}","{""dimensions_raw_root"": ""/home/jinx/Dropbox/ics_work/ref_gender/data/source/dimensions_api"", ""raw_outputs_xlsx"": ""/home/jinx/Dropbox/ics_work/ref_gender/data/source/raw_ref_outputs_data.xlsx""}","{""analysis_any_csv"": ""/home/jinx/Dropbox/ics_work/ref_gender/data/analysis/outputs_concat_with_any_number_authors.csv"", ""analysis_any_parquet"": ""/home/jinx/Dropbox/ics_work/ref_gender/data/analysis/outputs_concat_with_any_number_authors.parquet"", ""analysis_positive_csv"": ""/home/jinx/Dropbox/ics_work/ref_gender/data/analysis/outputs_concat_with_positive_authors.csv"", ""analysis_positive_parquet"": ""/home/jinx/Dropbox/ics_work/ref_gender/data/analysis/outputs_concat_with_positive_authors.parquet"", ""legacy_any"": ""/home/jinx/Dropbox/ics_work/ref_gender/data/dimensions_outputs/outputs_concat_with_any_number_authors.csv"", ""legacy_positive"": ""/home/jinx/Dropbox/ics_work/ref_gender/data/dimensions_outputs/outputs_concat_with_positive_authors.csv""}","{""outputs_any_rows"": ""185286"", ""outputs_positive_rows"": ""157719""}",
