token,n_docs_present,n_docs_absent,prevalence,prevalence_pct,mean_outcome_present,mean_outcome_absent,delta_outcome,delta_pct_points,ci_low_outcome,ci_high_outcome,ci_low_pct_points,ci_high_pct_points,t_stat,df_welch,p_value,r_point_biserial,q_value,significant_fdr_05,abs_delta_pct_points
women,895,5246,0.1457417358736362,14.574173587363621,0.573218336598225,0.3429186337735221,0.23029970282470286,23.029970282470284,0.20126691774715005,0.25933248790225566,20.126691774715006,25.933248790225566,15.563357112688214,1167.374996395816,9.007678435518166e-50,0.20599824507071382,1.5012797392530279e-46,True,23.029970282470284
practice,3614,2527,0.5885035010584595,58.85035010584595,0.4356017598892529,0.2919338360868809,0.14366792380237203,14.366792380237204,0.12416056541309094,0.16317528219165311,12.416056541309093,16.31752821916531,14.4378517974129,5644.547374103551,1.992208398975232e-46,0.17922599204519926,1.992208398975232e-43,True,14.366792380237204
social,2621,3520,0.426803452206481,42.6803452206481,0.45617111288278944,0.31714689692202186,0.13902421596076758,13.902421596076758,0.11911016706559424,0.15893826485594093,11.911016706559424,15.893826485594092,13.686025877859647,5343.667057085725,6.225632303211662e-42,0.174317014396248,3.112816151605831e-39,True,13.902421596076758
professionals,1367,4774,0.2226021820550399,22.26021820550399,0.5061472096951248,0.33935448855845673,0.1667927211366681,16.67927211366681,0.14258749872251486,0.19099794355082134,14.258749872251485,19.099794355082132,13.513446950215545,2102.920732502831,5.7680300250533565e-40,0.1758923862729117,2.403345843772232e-37,True,16.67927211366681
children,1485,4656,0.2418172936003908,24.181729360039082,0.49703990360556016,0.33803206769266564,0.15900783591289452,15.900783591289452,0.13533719726761123,0.18267847455817782,13.533719726761124,18.267847455817783,13.172885614730593,2344.345034883427,2.780450715106266e-38,0.17259679295566405,9.930181125379522e-36,True,15.900783591289452
training,2508,3633,0.40840254030288226,40.84025403028823,0.452457037026415,0.3240350440872721,0.12842199293914291,12.842199293914291,0.10837642858753496,0.14846755729075087,10.837642858753496,14.846755729075086,12.559457944251923,5169.908025326974,1.16444089879513e-35,0.16002224263392242,3.638877808734781e-33,True,12.842199293914291
education,2010,4131,0.32730825598436736,32.73082559843674,0.4649660966452011,0.3334300919328138,0.1315360047123873,13.15360047123873,0.11028382450808602,0.15278818491668858,11.028382450808602,15.278818491668858,12.134704730077278,3756.184218337057,2.8774535082240717e-33,0.1564641174695357,7.193633770560179e-31,True,13.15360047123873
experiences,973,5168,0.15844325028496986,15.844325028496986,0.5224799752035106,0.3489954621049327,0.17348451309857793,17.348451309857793,0.14506346453129237,0.2019055616658635,14.506346453129238,20.190556166586347,11.974984573475224,1294.482012019979,2.0490714948616555e-31,0.16059161528013247,3.940522105503184e-29,True,17.348451309857793
community,2502,3639,0.40742550073277967,40.74255007327797,0.4469253224349148,0.32805012566615865,0.11887519676875613,11.887519676875613,0.09876749287516699,0.13898290066234528,9.876749287516699,13.898290066234528,11.589885053747567,5140.452763501163,1.1129059915010129e-30,0.1480711370940992,1.9873321276803802e-28,True,11.887519676875613
awareness,1999,4142,0.3255170167725126,32.55170167725126,0.46174004834585125,0.33533636103040837,0.12640368731544288,12.640368731544289,0.10497205443883899,0.14783532019204676,10.4972054438839,14.783532019204676,11.563671900661321,3671.663032578718,2.1039523890747693e-30,0.15014665781398237,3.62750411909443e-28,True,12.640368731544289
learning,1835,4306,0.29881126852304185,29.881126852304185,0.46437042370284876,0.3390296880019927,0.12534073570085608,12.534073570085608,0.10346715667369016,0.147214314728022,10.346715667369017,14.721431472802198,11.235203239444271,3276.671063634144,9.130778747721919e-29,0.14544264660796158,1.4266841793315498e-26,True,12.534073570085608
participants,1529,4612,0.2489822504478098,24.89822504478098,0.4754823949395564,0.34366196491082535,0.13182043002873106,13.182043002873106,0.10851556372326948,0.15512529633419264,10.851556372326948,15.512529633419264,11.091644510312875,2483.1016973964643,6.168754645090328e-28,0.14450257903785246,8.567714784847679e-26,True,13.182043002873106
young,1271,4870,0.20696954893339847,20.696954893339846,0.48877504390879684,0.34717627992263395,0.1415987639861629,14.159876398616289,0.11641423053824934,0.16678329743407644,11.641423053824933,16.678329743407645,11.026894810840801,1880.6885696329448,1.9253949279606098e-27,0.14542571258894424,2.533414378895539e-25,True,14.159876398616289
gender,436,5705,0.07099820876078815,7.099820876078815,0.5962966824205356,0.35968382304924706,0.2366128593712885,23.661285937128852,0.195508604047421,0.27771711469515603,19.5508604047421,27.7717114695156,11.310165553749572,492.16645730670757,1.5961739588481184e-26,0.15404723057789496,2.0463768703181006e-24,True,23.661285937128852
families,817,5324,0.13304022146230254,13.304022146230254,0.5190591436307471,0.35460372721355893,0.1644554164171882,16.44554164171882,0.13474659431909125,0.19416423851528514,13.474659431909124,19.416423851528513,10.861942848334584,1058.9345365201348,3.937081979688227e-26,0.1415867834555884,4.801319487424666e-24,True,16.44554164171882
child,583,5558,0.09493567822830158,9.493567822830158,0.5512680096728124,0.3581490310169231,0.19311897865588934,19.311897865588932,0.15822125299095502,0.22801670432082366,15.822125299095502,22.801670432082368,10.865057003512396,695.8151799408796,1.652699033706717e-25,0.14350366298437833,1.9674988496508536e-23,True,19.311897865588932
family,847,5294,0.1379254193128155,13.79254193128155,0.5164856526131615,0.3540835315957613,0.1624021210174002,16.24021210174002,0.1325711706406449,0.19223307139415552,13.257117064064488,19.223307139415553,10.682018273351815,1094.2896613126204,2.0980693855584823e-25,0.14196126244472995,2.4396155646028863e-23,True,16.24021210174002
feedback,1396,4745,0.22732453997720242,22.732453997720242,0.47763358100034314,0.3467239378197743,0.13090964318056886,13.090964318056885,0.10646366400179205,0.15535562235934566,10.646366400179206,15.535562235934567,10.501679954155213,2133.1779780331135,3.452230094197533e-25,0.13908392523131427,3.9229887434062874e-23,True,13.090964318056885
practitioners,1532,4609,0.2494707702328611,24.94707702328611,0.46713138831765,0.3463519802839376,0.1207794080337124,12.07794080337124,0.097543082006033,0.1440157340613918,9.7543082006033,14.401573406139178,10.192561203469646,2506.06888707876,6.228014496877277e-24,0.13248603889829444,5.661831360797524e-22,True,12.07794080337124
professional,1867,4274,0.30402214623025564,30.402214623025564,0.4535363458005948,0.3428238667341127,0.11071247906648213,11.071247906648212,0.08903036909729613,0.13239458903566811,8.903036909729613,13.239458903566812,10.011460903887649,3406.58591339272,2.837846034775663e-23,0.12910125844703016,2.364871695646386e-21,True,11.071247906648212
